IPL 2024
HYDERABAD,BENGALURU,MUMBAI,GUJARAT,CHENNAI,LUCKNOW,DELHI,PUNJAB,KOLKATA,RAJASTHAN
matchno,team1,runs1,wickets1,overs1,team2,runs2,wickets2,overs2,max_overs
1,HYDERABAD,256,3,20,LUCKNOW,20,10,9.3,20
2,MUMBAI,0,0,0,GUJARAT,0,0,0,20
3,KOLKATA,0,0,0,PUNJAB,0,0,0,20
4,BENGALURU,0,0,0,RAJASTHAN,0,0,0,20
5,CHENNAI,0,0,0,DELHI,0,0,0,20
6,HYDERABAD,0,0,0,GUJARAT,0,0,0,20
7,LUCKNOW,0,0,0,PUNJAB,0,0,0,20
8,MUMBAI,0,0,0,RAJASTHAN,0,0,0,20
9,KOLKATA,0,0,0,DELHI,0,0,0,20
10,BENGALURU,0,0,0,CHENNAI,0,0,0,20
11,HYDERABAD,0,0,0,PUNJAB,0,0,0,20
12,GUJARAT,0,0,0,RAJASTHAN,0,0,0,20
13,LUCKNOW,0,0,0,DELHI,0,0,0,20
14,MUMBAI,0,0,0,CHENNAI,0,0,0,20
15,KOLKATA,0,0,0,BENGALURU,0,0,0,20
16,HYDERABAD,0,0,0,RAJASTHAN,0,0,0,20
17,PUNJAB,0,0,0,DELHI,0,0,0,20
18,GUJARAT,0,0,0,CHENNAI,0,0,0,20
19,LUCKNOW,0,0,0,BENGALURU,0,0,0,20
20,MUMBAI,0,0,0,KOLKATA,0,0,0,20,
21,HYDERABAD,0,0,0,DELHI,0,0,0,20
22,RAJASTHAN,0,0,0,CHENNAI,0,0,0,20
23,PUNJAB,0,0,0,BENGALURU,0,0,0,20
24,GUJARAT,0,0,0,KOLKATA,0,0,0,20
25,LUCKNOW,0,0,0,MUMBAI,0,0,0,20
26,HYDERABAD,0,0,0,CHENNAI,0,0,0,20
27,DELHI,0,0,0,BENGALURU,0,0,0,20
28,RAJASTHAN,0,0,0,KOLKATA,0,0,0,20
29,PUNJAB,0,0,0,MUMBAI,0,0,0,20
30,GUJARAT,0,0,0,LUCKNOW,0,0,0,20
31,HYDERABAD,0,0,0,BENGALURU,0,0,0,20
32,CHENNAI,0,0,0,KOLKATA,0,0,0,20
33,DELHI,0,0,0,MUMBAI,0,0,0,20
34,RAJASTHAN,0,0,0,LUCKNOW,0,0,0,20
35,PUNJAB,0,0,0,GUJARAT,0,0,0,20
36,HYDERABAD,0,0,0,KOLKATA,0,0,0,20
37,BENGALURU,0,0,0,MUMBAI,0,0,0,20
38,CHENNAI,0,0,0,LUCKNOW,0,0,0,20
39,DELHI,0,0,0,GUJARAT,0,0,0,20
40,RAJASTHAN,0,0,0,PUNJAB,0,0,0,20
41,HYDERABAD,0,0,0,MUMBAI,0,0,0,20
42,KOLKATA,0,0,0,LUCKNOW,0,0,0,20
43,BENGALURU,0,0,0,GUJARAT,0,0,0,20
44,CHENNAI,0,0,0,PUNJAB,0,0,0,20
45,DELHI,0,0,0,RAJASTHAN,0,0,0,20
